seed,method,execution,candidate_id,scenario_index,daily_loss_mwh_learned,risk_learned,pf_fail_learned,daily_loss_mwh_opf,risk_opf,pf_fail_opf,loss_gap_mwh,relative_loss_gap_percent
43,wg,raw,100,4,2.1379592898376587,1,0,1.555612412679469,0,0,0.5823468771581897,37.43521666525691
43,wg,raw,100,5,0.9899048007341216,0,0,0.8279395075780194,0,0,0.1619652931561022,19.562454946726852
43,wg,raw,100,6,1.6987073208781784,0,0,1.3534292756835282,0,0,0.3452780451946502,25.511347463669498
43,wg,raw,100,7,0.959282338905317,0,0,0.8032922580485785,0,0,0.1559900808567385,19.418845294946824
43,wg,raw,100,8,1.473048664444666,0,0,1.23610179258524,0,0,0.2369468718594261,19.16888020717651
43,wg,raw,100,9,1.001081065379805,0,0,0.8531104317613608,0,0,0.1479706336184442,17.344839320853104
43,wg,raw,100,10,0.98066486007347,0,0,0.8304233125305677,0,0,0.1502415475429023,18.092163993453877
43,wg,raw,100,11,1.5382591141082185,0,0,1.269062288020365,0,0,0.26919682608785345,21.212262678436282
43,wg,raw,100,12,2.050955707355316,0,0,1.5061100476003682,0,0,0.544845659754948,36.1756872031384
43,wg,raw,100,13,2.5566526908322698,1,0,1.7221864724778555,0,0,0.8344662183544143,48.45388299640962
43,wg,raw,100,14,2.377232081232554,1,0,1.654075171359246,0,0,0.7231569098733077,43.71971252546214
43,wg,raw,100,15,3.3018590011811506,1,0,1.9107737434256789,0,0,1.3910852577554718,72.8021966254101
43,wg,raw,100,16,1.876828052037244,0,0,1.441565944994005,0,0,0.435262107043239,30.193700715165626
43,wg,raw,105,0,1.0614671979759196,0,0,0.8707517961563219,0,0,0.19071540181959767,21.902383969973396
43,wg,raw,105,1,3.78932860787754,0,0,2.381749916433628,0,0,1.407578691443912,59.09850911432315
43,wg,raw,105,2,1.8993266261015465,0,0,1.480172433946151,0,0,0.4191541921553954,28.31792989401425
43,wg,raw,105,3,3.2984025347937798,0,0,2.1290737926426564,0,0,1.1693287421511234,54.921945222937765
43,wg,raw,105,4,2.077799467720114,0,0,1.5568437357506988,0,0,0.5209557319694151,33.462300679664175
43,wg,raw,105,5,0.99407623657193,0,0,0.8280109521617258,0,0,0.16606528441020418,20.055928484599146
43,wg,raw,105,6,1.665526322978205,0,0,1.3539876946049323,0,0,0.3115386283732726,23.00897043707429
43,wg,raw,105,7,0.9634957480959616,0,0,0.8039050417211643,0,0,0.15959070637479733,19.851935003805043
43,wg,raw,105,8,1.4593646694332147,0,0,1.23644667562746,0,0,0.22291799380575483,18.028920955497785
43,wg,raw,105,9,1.004802965051462,0,0,0.8534526698151408,0,0,0.15135029523632126,17.733882684918424
43,wg,raw,105,10,0.9845623061055008,0,0,0.8308294426605012,0,0,0.1537328634449996,18.503540624741543
43,wg,raw,105,11,1.5194397794364232,0,0,1.2694237193612543,0,0,0.25001606007516886,19.695240939799938
43,wg,raw,105,12,1.9984439612129128,0,0,1.5071587524158685,0,0,0.4912852087970443,32.59677907251303
43,wg,raw,105,13,2.4718474950343325,0,0,1.7244028188661646,0,0,0.7474446761681679,43.34513189091342
43,wg,raw,105,14,2.295169497566075,0,0,1.6563826471808891,0,0,0.6387868503851859,38.565174023790995
43,wg,raw,105,15,2.863952093411333,0,0,1.914671366724867,0,0,0.9492807266864662,49.579303434732736
43,wg,raw,105,16,1.8456417349459988,0,0,1.441715732277228,0,0,0.40392600266877077,28.017035094065246
43,wg,raw,267,0,1.1017249765212,0,0,0.8486609029840949,0,0,0.25306407353710514,29.81922139305243
43,wg,raw,267,1,3.55227820382838,0,0,2.3300496823289927,0,0,1.2222285214993875,52.45504122803568
43,wg,raw,267,2,1.856150246908754,0,0,1.4455050333792088,0,0,0.4106452135295453,28.408425017349494
43,wg,raw,267,3,3.09686727742354,0,0,2.0751278359476,0,0,1.02173944147594,49.237421607299005
43,wg,raw,267,4,1.993097404861326,0,0,1.511849703811168,0,0,0.4812477010501579,31.8317158006512
43,wg,raw,267,5,1.0248438483818167,0,0,0.8042536386869326,0,0,0.2205902096948842,27.427940525706735
43,wg,raw,267,6,1.6313977951644087,0,0,1.3147205062067502,0,0,0.31667728895765856,24.087042642343828
43,wg,raw,267,7,0.9932888464190168,0,0,0.7792415945363826,0,0,0.21404725188263418,27.468663554848312
43,wg,raw,267,8,1.4547242909948526,0,0,1.2010236742826643,0,0,0.25370061671218824,21.12369823714891
43,wg,raw,267,9,1.0296725280201129,0,0,0.826957410982471,0,0,0.2027151170376419,24.51336844503336
43,wg,raw,267,10,1.0114332595390256,0,0,0.8050512637330821,0,0,0.20638199580594352,25.635882471500633
43,wg,raw,267,11,1.5052273764096844,0,0,1.2338996526418011,0,0,0.2713277237678833,21.9894481035768
43,wg,raw,267,12,1.918628785062668,0,0,1.4655577282228327,0,0,0.4530710568398353,30.91458276360353
43,wg,raw,267,13,2.321172037366697,0,0,1.6769192509494109,0,0,0.6442527864172862,38.41883179840256
