scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st,stage
-5.751029170042904,0.0,-5.751029170042904,0.0,3
-5.620517888650053,0.0,-5.620517888650053,0.0,3
-6.119235018761787,0.0,-6.119235018761787,0.0,3
-4.401839813215465,0.0,-4.401839813215465,0.0,3
-6.580353442379412,0.0,-6.580353442379412,0.0,3
-3.730218964897905,0.0,-3.730218964897905,0.0,3
-3.6954843305220635,0.0,-3.6954843305220635,0.0,3
-5.4991261455976055,0.0,-5.4991261455976055,0.0,3
-4.43349810045964,0.0,-4.43349810045964,0.0,3
-4.21265212003121,0.0,-4.21265212003121,0.0,3
-4.786512592924376,0.0,-4.786512592924376,0.0,3
-3.502240234071996,0.0,-3.502240234071996,0.0,3
-5.799241740274288,0.0,-5.799241740274288,0.0,3
-5.100013361842438,0.0,-5.100013361842438,0.0,3
-3.9135983106075933,0.0,-3.9135983106075933,0.0,3
-4.64466616713995,0.0,-4.64466616713995,0.0,3
-4.01320989767112,0.0,-4.01320989767112,0.0,3
-6.462216992943425,0.0,-6.462216992943425,0.0,3
-5.119075175316027,0.0,-5.119075175316027,0.0,3
-3.646521370801778,0.0,-3.646521370801778,0.0,3
-4.45269917210844,0.0,-4.45269917210844,0.0,3
-4.940330387736903,0.0,-4.940330387736903,0.0,3
-5.697399928446914,0.0,-5.697399928446914,0.0,3
-3.744182675538919,0.0,-3.744182675538919,0.0,3
-4.689540833520503,0.0,-4.689540833520503,0.0,3
-4.02188019808656,0.0,-4.02188019808656,0.0,3
-3.7578410351733145,0.0,-3.7578410351733145,0.0,3
-5.366526338584978,0.0,-5.366526338584978,0.0,3
-4.1446633717334205,0.0,-4.1446633717334205,0.0,3
-4.885052395827462,0.0,-4.885052395827462,0.0,3
