seed,day,step,maximum_active_balance_residual_mw,maximum_reactive_balance_residual_mvar
43,85,30,4.369785488317346e-09,1.5956445331699598e-08
43,85,31,4.282599786950558e-09,1.544412209231183e-08
43,85,32,4.1521807780248166e-09,1.4749537285974057e-08
43,85,33,4.004519632561099e-09,1.4009062243580672e-08
43,85,34,3.985707631992685e-09,1.3826958467078043e-08
43,85,35,3.975041381124034e-09,1.3708625068442615e-08
43,85,36,3.928529255375901e-09,1.3465285553238004e-08
43,85,37,3.87939883342292e-09,1.3229430606553905e-08
43,85,38,3.794640860213527e-09,1.285093309544294e-08
43,85,39,3.697554606246767e-09,1.2430676210595237e-08
43,85,40,3.4232318108645687e-09,1.1359610613270732e-08
43,85,41,3.4395550817245546e-09,1.1359024831847364e-08
43,85,42,3.521873920969698e-09,1.162966084544692e-08
43,85,43,3.546213418401112e-09,1.1709512942603695e-08
43,85,44,3.5741037473363546e-09,1.1799217575214627e-08
