scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-7.9733931973960965,2.0,-6.26949094372802,0.0
-7.082607688451254,0.0,-7.082607688451254,0.0
-7.531480791356259,0.0,-7.531480791356259,0.0
-6.244860015264369,1.0,-6.210112318383003,0.0
-5.446702217813767,0.0,-5.446702217813767,0.0
-7.497510040736048,0.0,-7.497510040736048,0.0
-6.42105404532015,0.0,-6.42105404532015,0.0
-6.736895541359902,0.0,-6.736895541359902,0.0
-8.685174442756294,0.0,-8.685174442756294,0.0
-7.013926889405437,0.0,-7.013926889405437,0.0
-4.469882282242107,0.0,-4.469882282242107,0.0
-5.809004948825501,0.0,-5.809004948825501,0.0
-6.354939819461641,0.0,-6.354939819461641,0.0
-7.033501978247267,0.0,-7.033501978247267,0.0
-5.680300504769514,0.0,-5.680300504769514,0.0
-6.203912393278615,0.0,-6.203912393278615,0.0
-14.911431791055778,2.0,-6.663972698226222,0.0
-5.722071225940612,0.0,-5.722071225940612,0.0
-8.061127761801925,1.0,-8.051583179976499,0.0
-7.120700832263312,0.0,-7.120700832263312,0.0
-5.208121122529528,0.0,-5.208121122529528,0.0
-4.747775967609404,0.0,-4.747775967609404,0.0
-7.284818369089403,0.0,-7.284818369089403,0.0
-6.07334655104423,0.0,-6.07334655104423,0.0
-5.333299290978967,0.0,-5.333299290978967,0.0
-4.626517956180087,0.0,-4.626517956180087,0.0
-5.949920790891748,0.0,-5.949920790891748,0.0
-4.362609890523383,0.0,-4.362609890523383,0.0
-5.98647566152996,0.0,-5.98647566152996,0.0
-7.127612357402586,0.0,-7.127612357402586,0.0
-6.428054990899308,0.0,-6.428054990899308,0.0
-6.681964197049376,0.0,-6.681964197049376,0.0
-6.07548678351429,0.0,-6.07548678351429,0.0
-4.853517942807802,0.0,-4.853517942807802,0.0
-5.76641822181073,0.0,-5.76641822181073,0.0
-4.806749330749304,0.0,-4.806749330749304,0.0
-6.186984319439734,0.0,-6.186984319439734,0.0
-7.116064092998281,0.0,-7.116064092998281,0.0
-6.207864923908345,0.0,-6.207864923908345,0.0
-4.760621941431846,0.0,-4.760621941431846,0.0
-5.913628211994014,0.0,-5.913628211994014,0.0
-7.312361061629651,0.0,-7.312361061629651,0.0
-6.038177094706428,0.0,-6.038177094706428,0.0
-5.787842306783694,0.0,-5.787842306783694,0.0
-5.349994418345867,0.0,-5.349994418345867,0.0
-6.223929293719702,0.0,-6.223929293719702,0.0
-7.275422397973494,0.0,-7.275422397973494,0.0
-6.837881351693222,0.0,-6.837881351693222,0.0
-6.948955786161462,0.0,-6.948955786161462,0.0
-6.862357913189564,0.0,-6.862357913189564,0.0
-6.043025253924734,0.0,-6.043025253924734,0.0
-5.211676708239873,0.0,-5.211676708239873,0.0
-5.879162605659609,0.0,-5.879162605659609,0.0
-5.1195740255890865,0.0,-5.1195740255890865,0.0
-5.036315732117346,0.0,-5.036315732117346,0.0
-5.768757793661544,0.0,-5.768757793661544,0.0
-6.812833771241364,0.0,-6.812833771241364,0.0
-5.356454793158111,0.0,-5.356454793158111,0.0
-7.396878164516464,0.0,-7.396878164516464,0.0
-4.6837712286571636,0.0,-4.6837712286571636,0.0
-5.201118825564518,0.0,-5.201118825564518,0.0
-5.730086463477349,0.0,-5.730086463477349,0.0
-5.616738576121637,0.0,-5.616738576121637,0.0
-5.272219064474791,0.0,-5.272219064474791,0.0
