scores,violation_sum_s,grid_loss_sum_s,pf_fail_sum_s
-4.743198920791557,0.0,-4.743198920791557,0.0
-7.19540369397551,0.0,-7.19540369397551,0.0
-16.649808509797257,6.0,-6.814798279584628,0.0
-47.6904009450453,7.0,-6.3708567176891195,0.0
-8.506037112399003,2.0,-7.327543743554479,0.0
-17.20662141075782,4.0,-5.822230771730541,0.0
-8.036663806885866,0.0,-8.036663806885866,0.0
-12.163041127769146,3.0,-6.950822304246959,0.0
-5.598438985285615,1.0,-5.204524103017493,0.0
-4.6671960965162524,2.0,-4.1397675508478455,0.0
-4.627191820992167,2.0,-4.063862520836131,0.0
-10.354168328229177,1.0,-5.938368424692467,0.0
-5.79012533238963,0.0,-5.79012533238963,0.0
-8.037537702571415,1.0,-7.091253336349929,0.0
-7.685055478442261,4.0,-5.002658287279383,0.0
-5.131812984772752,0.0,-5.131812984772752,0.0
-6.462728931481122,1.0,-5.207356183011826,0.0
-16.362948323970787,4.0,-5.415005793964753,0.0
-5.3040018545509975,0.0,-5.3040018545509975,0.0
-8.020247586068644,2.0,-6.589466893721165,0.0
-9.704813914436953,3.0,-4.318759467332023,0.0
-22.34621082881915,5.0,-5.8978304464877205,0.0
-7.444364507771527,1.0,-6.747917454313689,0.0
-4.0004328980057755,0.0,-4.0004328980057755,0.0
-12.127466679658815,1.0,-4.0611064211106696,0.0
-5.685698191306761,0.0,-5.685698191306761,0.0
-10.005250166218676,2.0,-5.013053361953909,0.0
-7.016297221548114,2.0,-5.150054781245735,0.0
-6.762864487880679,1.0,-6.060452918385637,0.0
-7.675290839563788,1.0,-4.891802492354341,0.0
-5.405043854517357,0.0,-5.405043854517357,0.0
