scorest,violation_sum_st,grid_loss_sum_st,pf_fail_sum_st
-3.963063438436341,0.0,-3.963063438436341,0.0
-3.71369434390405,0.0,-3.71369434390405,0.0
-6.283486251090819,0.0,-6.283486251090819,0.0
-5.065250978111908,0.0,-5.065250978111908,0.0
-4.513005304075223,0.0,-4.513005304075223,0.0
-5.805359208466155,0.0,-5.805359208466155,0.0
-4.633887971409014,0.0,-4.633887971409014,0.0
-4.851877072389617,0.0,-4.851877072389617,0.0
-5.419160103220889,0.0,-5.419160103220889,0.0
-4.13170994839195,0.0,-4.13170994839195,0.0
-5.190434659493633,0.0,-5.190434659493633,0.0
-3.5880884221914893,0.0,-3.5880884221914893,0.0
-4.4626108779947105,0.0,-4.4626108779947105,0.0
-4.82028427713522,0.0,-4.82028427713522,0.0
-6.773391724017418,0.0,-6.773391724017418,0.0
-5.681082654096025,0.0,-5.681082654096025,0.0
-5.761517139722937,0.0,-5.761517139722937,0.0
-4.789368012940024,0.0,-4.789368012940024,0.0
-3.957138203573025,0.0,-3.957138203573025,0.0
-7.507175467287245,0.0,-7.507175467287245,0.0
-5.585545733551108,0.0,-5.585545733551108,0.0
-4.884264956802991,0.0,-4.884264956802991,0.0
-5.637039174801829,0.0,-5.637039174801829,0.0
-5.309073541675651,0.0,-5.309073541675651,0.0
-4.071044098106857,0.0,-4.071044098106857,0.0
-3.3761546274690453,0.0,-3.3761546274690453,0.0
-3.7698702174419765,0.0,-3.7698702174419765,0.0
-4.313642270120942,0.0,-4.313642270120942,0.0
-6.651427301426372,0.0,-6.651427301426372,0.0
-5.789744684036288,0.0,-5.789744684036288,0.0
-5.234327478068518,0.0,-5.234327478068518,0.0
-6.608533084238,0.0,-6.608533084238,0.0
-4.942496680232294,0.0,-4.942496680232294,0.0
-7.222994262877051,0.0,-7.222994262877051,0.0
-6.023532332783322,0.0,-6.023532332783322,0.0
-4.4993205985319165,0.0,-4.4993205985319165,0.0
-3.640143394791381,0.0,-3.640143394791381,0.0
-3.589422051378271,0.0,-3.589422051378271,0.0
-5.392835877932426,0.0,-5.392835877932426,0.0
-5.325552123938013,0.0,-5.325552123938013,0.0
-6.2560326044812005,0.0,-6.2560326044812005,0.0
-4.305549113538006,0.0,-4.305549113538006,0.0
-4.601166731849099,0.0,-4.601166731849099,0.0
-4.465967447921687,0.0,-4.465967447921687,0.0
-4.69205086502723,0.0,-4.69205086502723,0.0
-4.368110172622305,0.0,-4.368110172622305,0.0
-5.675358372013035,0.0,-5.675358372013035,0.0
-3.973778958490583,0.0,-3.973778958490583,0.0
-4.939483327994436,1.0,-4.937786729868803,0.0
-6.125321452856813,0.0,-6.125321452856813,0.0
-3.6929294939660484,0.0,-3.6929294939660484,0.0
-3.71472622901532,0.0,-3.71472622901532,0.0
-5.223084411431297,0.0,-5.223084411431297,0.0
-4.500120468362169,0.0,-4.500120468362169,0.0
-4.50421544529035,0.0,-4.50421544529035,0.0
-5.576730629506131,0.0,-5.576730629506131,0.0
-4.230869311523559,0.0,-4.230869311523559,0.0
-4.961194364278754,0.0,-4.961194364278754,0.0
