candidate_id,pv_s_scale,svc_q_scale,cap_total_mvar,pv_nameplate_mva,svc_nameplate_mvar
324,1.2,0.1875,1.0,16.099689437998485,0.375
325,1.2,0.375,0.0,16.099689437998485,0.75
326,1.2,0.375,0.25,16.099689437998485,0.75
327,1.2,0.375,0.5,16.099689437998485,0.75
328,1.2,0.375,0.75,16.099689437998485,0.75
329,1.2,0.375,1.0,16.099689437998485,0.75
330,1.2,0.5625,0.0,16.099689437998485,1.125
331,1.2,0.5625,0.25,16.099689437998485,1.125
332,1.2,0.5625,0.5,16.099689437998485,1.125
333,1.2,0.5625,0.75,16.099689437998485,1.125
334,1.2,0.5625,1.0,16.099689437998485,1.125
335,1.2,0.75,0.0,16.099689437998485,1.5
336,1.2,0.75,0.25,16.099689437998485,1.5
337,1.2,0.75,0.5,16.099689437998485,1.5
338,1.2,0.75,0.75,16.099689437998485,1.5
339,1.2,0.75,1.0,16.099689437998485,1.5
340,1.2,0.9375,0.0,16.099689437998485,1.875
341,1.2,0.9375,0.25,16.099689437998485,1.875
342,1.2,0.9375,0.5,16.099689437998485,1.875
343,1.2,0.9375,0.75,16.099689437998485,1.875
344,1.2,0.9375,1.0,16.099689437998485,1.875
345,1.2,1.125,0.0,16.099689437998485,2.25
346,1.2,1.125,0.25,16.099689437998485,2.25
347,1.2,1.125,0.5,16.099689437998485,2.25
348,1.2,1.125,0.75,16.099689437998485,2.25
349,1.2,1.125,1.0,16.099689437998485,2.25
350,1.2,1.3125,0.0,16.099689437998485,2.625
351,1.2,1.3125,0.25,16.099689437998485,2.625
352,1.2,1.3125,0.5,16.099689437998485,2.625
353,1.2,1.3125,0.75,16.099689437998485,2.625
354,1.2,1.3125,1.0,16.099689437998485,2.625
355,1.2,1.5,0.0,16.099689437998485,3.0
356,1.2,1.5,0.25,16.099689437998485,3.0
357,1.2,1.5,0.5,16.099689437998485,3.0
358,1.2,1.5,0.75,16.099689437998485,3.0
359,1.2,1.5,1.0,16.099689437998485,3.0
360,1.35,0.0,0.0,18.1121506177483,0.0
361,1.35,0.0,0.25,18.1121506177483,0.0
362,1.35,0.0,0.5,18.1121506177483,0.0
363,1.35,0.0,0.75,18.1121506177483,0.0
364,1.35,0.0,1.0,18.1121506177483,0.0
365,1.35,0.1875,0.0,18.1121506177483,0.375
366,1.35,0.1875,0.25,18.1121506177483,0.375
367,1.35,0.1875,0.5,18.1121506177483,0.375
368,1.35,0.1875,0.75,18.1121506177483,0.375
369,1.35,0.1875,1.0,18.1121506177483,0.375
370,1.35,0.375,0.0,18.1121506177483,0.75
371,1.35,0.375,0.25,18.1121506177483,0.75
372,1.35,0.375,0.5,18.1121506177483,0.75
373,1.35,0.375,0.75,18.1121506177483,0.75
374,1.35,0.375,1.0,18.1121506177483,0.75
375,1.35,0.5625,0.0,18.1121506177483,1.125
376,1.35,0.5625,0.25,18.1121506177483,1.125
377,1.35,0.5625,0.5,18.1121506177483,1.125
378,1.35,0.5625,0.75,18.1121506177483,1.125
379,1.35,0.5625,1.0,18.1121506177483,1.125
380,1.35,0.75,0.0,18.1121506177483,1.5
381,1.35,0.75,0.25,18.1121506177483,1.5
382,1.35,0.75,0.5,18.1121506177483,1.5
383,1.35,0.75,0.75,18.1121506177483,1.5
384,1.35,0.75,1.0,18.1121506177483,1.5
385,1.35,0.9375,0.0,18.1121506177483,1.875
386,1.35,0.9375,0.25,18.1121506177483,1.875
387,1.35,0.9375,0.5,18.1121506177483,1.875
388,1.35,0.9375,0.75,18.1121506177483,1.875
389,1.35,0.9375,1.0,18.1121506177483,1.875
390,1.35,1.125,0.0,18.1121506177483,2.25
391,1.35,1.125,0.25,18.1121506177483,2.25
392,1.35,1.125,0.5,18.1121506177483,2.25
393,1.35,1.125,0.75,18.1121506177483,2.25
394,1.35,1.125,1.0,18.1121506177483,2.25
395,1.35,1.3125,0.0,18.1121506177483,2.625
396,1.35,1.3125,0.25,18.1121506177483,2.625
397,1.35,1.3125,0.5,18.1121506177483,2.625
398,1.35,1.3125,0.75,18.1121506177483,2.625
399,1.35,1.3125,1.0,18.1121506177483,2.625
400,1.35,1.5,0.0,18.1121506177483,3.0
401,1.35,1.5,0.25,18.1121506177483,3.0
402,1.35,1.5,0.5,18.1121506177483,3.0
403,1.35,1.5,0.75,18.1121506177483,3.0
404,1.35,1.5,1.0,18.1121506177483,3.0
405,1.5,0.0,0.0,20.12461179749811,0.0
406,1.5,0.0,0.25,20.12461179749811,0.0
407,1.5,0.0,0.5,20.12461179749811,0.0
408,1.5,0.0,0.75,20.12461179749811,0.0
